connection_id,from_influencer,to_influencer,connection_type,strength,interaction_count,first_seen,last_interaction
44628,4751,4832,duet,0.444,10,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44629,4546,4922,inspired_by,0.19,27,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44630,4865,4948,follows,0.737,91,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44631,4546,5051,collaborates,0.707,76,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44632,4986,4611,mentioned,0.249,101,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44633,5003,4835,reshared,0.331,31,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44634,4631,4711,tagged,0.499,122,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44635,4791,4750,duet,0.478,142,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44636,4543,4990,inspired_by,0.936,69,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44637,4996,4673,follows,0.28,174,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44638,4930,4548,collaborates,0.299,47,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44639,4930,4912,mentioned,0.698,164,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44640,5055,4713,reshared,0.46,123,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44641,4906,4589,tagged,0.43,142,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44642,4775,4764,duet,0.669,105,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44643,4800,4541,inspired_by,0.488,62,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44644,4678,4928,follows,0.946,98,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44645,4575,4983,collaborates,0.258,65,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44646,4967,5000,mentioned,0.405,123,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44647,4867,4799,reshared,0.589,40,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44648,4673,4742,tagged,0.752,75,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44649,4828,4941,duet,0.617,52,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44650,4619,4688,inspired_by,0.843,165,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44651,4598,4631,follows,0.465,141,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44652,5013,4928,collaborates,0.223,145,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44653,4685,4618,mentioned,0.424,126,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44654,4675,4848,reshared,0.372,148,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44655,5026,4601,tagged,0.213,167,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44656,4865,4817,duet,0.846,94,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44657,4592,4589,inspired_by,0.661,21,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44658,4905,4762,follows,0.349,93,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44659,4906,4913,collaborates,0.393,123,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44660,4835,4643,mentioned,0.463,42,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44661,4613,4762,reshared,0.564,187,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44662,5060,4619,tagged,0.52,122,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44663,4562,5026,duet,0.941,196,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44664,4834,4772,inspired_by,0.503,95,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44665,4995,4677,follows,0.655,113,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44666,4730,5025,collaborates,0.938,151,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44667,4842,4904,mentioned,0.936,139,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44668,4956,4563,reshared,0.635,92,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44669,4908,4949,tagged,0.477,14,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44670,5018,4941,duet,0.132,133,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44671,4660,4764,inspired_by,0.426,8,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44672,4749,4620,follows,0.217,108,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44673,4599,5005,collaborates,0.82,113,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44674,4710,5024,mentioned,0.8,115,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44675,4864,4682,reshared,0.639,42,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44676,4551,4801,tagged,0.571,27,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44677,4594,4930,duet,0.963,67,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44678,4676,5027,inspired_by,0.148,143,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44679,4565,4885,follows,0.358,11,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44680,4792,5045,collaborates,0.204,87,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44681,4958,4671,mentioned,0.552,142,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44682,4692,5008,reshared,0.554,103,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44683,4757,4732,tagged,0.649,158,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44684,4892,4751,duet,0.805,64,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44685,4679,5019,inspired_by,0.73,88,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44686,4951,4805,follows,0.487,71,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44687,4856,4960,collaborates,0.589,67,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44688,4814,4767,mentioned,0.186,28,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44689,4776,4648,reshared,0.908,180,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44690,4649,4633,tagged,0.468,121,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44691,4731,4884,duet,0.426,12,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44692,4691,4674,inspired_by,0.818,129,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44693,5009,4632,follows,0.115,166,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44694,4734,4558,collaborates,0.775,94,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44695,4832,4627,mentioned,0.745,3,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44696,4683,4919,reshared,0.688,51,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44697,4883,4587,tagged,0.301,184,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44698,5050,4596,inspired_by,0.992,24,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44699,5024,4723,follows,0.686,117,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44700,4622,4947,collaborates,0.662,79,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44701,4546,4771,mentioned,0.285,123,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44702,4642,4795,reshared,0.937,164,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44703,4770,5005,tagged,0.169,192,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44704,4996,4623,duet,0.359,7,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44705,4676,4727,inspired_by,0.427,127,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44706,4555,4726,follows,0.691,17,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44707,4668,4728,collaborates,0.279,93,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44708,4775,4592,mentioned,0.554,189,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44709,4921,4890,reshared,0.7,12,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44710,4653,4675,tagged,0.117,91,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44711,4848,4870,duet,0.253,176,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44712,4892,4958,inspired_by,0.416,149,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44713,4573,4799,follows,0.185,110,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44714,4731,4889,collaborates,0.135,96,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44715,4604,4663,mentioned,0.374,109,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44716,4990,4859,reshared,0.785,180,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44717,4862,4943,tagged,0.943,94,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44718,5023,4648,duet,0.682,143,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44719,4634,4716,inspired_by,0.96,130,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44720,4857,4931,follows,0.824,30,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44721,4658,4555,collaborates,0.78,59,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44722,4906,4642,mentioned,0.72,197,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44723,4991,4664,reshared,0.212,39,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44724,4618,5046,tagged,0.465,92,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44725,4643,4579,duet,0.162,142,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44726,4847,5007,inspired_by,0.585,194,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44727,4696,4979,follows,0.915,105,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44728,4656,4749,collaborates,0.85,125,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44729,4808,4958,mentioned,0.949,5,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44730,4841,4933,reshared,0.383,169,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44731,5052,5000,tagged,0.765,70,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44732,4930,4581,duet,0.654,147,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44733,4992,4684,inspired_by,0.2,106,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44734,4908,4598,follows,0.574,1,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44735,4933,4623,collaborates,0.669,29,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44736,4904,4712,mentioned,0.695,101,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44737,4856,4671,reshared,0.717,120,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44738,4623,4910,tagged,0.747,116,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44739,4566,4657,duet,0.496,68,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44740,4835,4860,inspired_by,0.158,84,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44741,4554,4757,follows,0.716,91,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44742,4624,4896,collaborates,0.32,107,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44743,4818,4780,mentioned,0.489,137,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44744,5046,4679,reshared,0.455,104,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44745,4702,4928,tagged,0.153,3,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44746,4905,4998,duet,0.537,158,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44747,4628,4942,inspired_by,0.406,170,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44748,4586,4746,follows,0.464,90,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44749,4854,4587,collaborates,0.234,1,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44750,4707,5009,mentioned,0.29,53,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44751,4850,4929,reshared,0.494,110,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44752,4877,4941,tagged,0.243,75,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44753,4816,4696,duet,0.95,145,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44754,4867,4941,inspired_by,0.416,119,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44755,4797,4674,follows,0.581,170,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44756,4617,4554,collaborates,0.71,30,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44757,4782,4874,mentioned,0.203,64,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44758,4891,5058,reshared,0.135,99,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44759,4746,4772,tagged,0.999,31,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44760,4770,4951,duet,0.392,1,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44761,4910,4703,inspired_by,0.363,131,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44762,4568,4879,follows,0.787,39,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44763,4835,4643,collaborates,0.683,45,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44764,5049,4761,mentioned,0.593,124,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44765,4709,4830,reshared,0.612,94,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44766,4599,4553,tagged,0.462,155,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44767,5015,4667,duet,0.572,192,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44768,5045,4950,inspired_by,0.254,13,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44769,4943,4907,follows,0.781,191,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44770,4916,4556,collaborates,0.276,14,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44771,5008,4952,mentioned,0.482,162,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44772,4547,4899,reshared,0.608,39,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44773,4956,4677,tagged,0.341,143,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44774,4995,4576,duet,0.786,175,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44775,4741,4834,inspired_by,0.854,81,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44776,4809,4664,follows,0.207,170,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44777,5043,4911,collaborates,0.269,128,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44778,4750,4834,mentioned,0.585,166,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44779,4580,4693,reshared,0.234,186,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44780,4984,4915,tagged,0.33,90,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44781,4813,4546,duet,0.644,110,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44782,4930,4779,inspired_by,0.891,46,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44783,4653,4556,follows,0.577,186,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44784,4865,4685,collaborates,0.846,45,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44785,4980,4769,mentioned,0.846,50,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44786,4553,4653,reshared,0.532,11,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44787,4608,4828,tagged,0.782,196,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44788,4571,4551,duet,0.817,179,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44789,4768,4720,inspired_by,0.159,148,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44790,4684,4668,follows,0.898,24,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44791,4918,5020,collaborates,0.258,7,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44792,5004,4709,mentioned,0.825,162,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44793,4614,4720,reshared,0.416,28,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44794,4623,4868,tagged,0.885,40,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44795,4943,4616,duet,0.37,22,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44796,5016,4542,inspired_by,0.29,159,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44797,4815,4884,follows,0.532,100,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44798,4567,4616,collaborates,0.648,195,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44799,4706,4591,mentioned,0.341,9,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44800,4984,5008,reshared,0.873,118,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44801,5054,4776,tagged,0.633,32,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44802,4871,4977,duet,0.907,61,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44803,4872,4843,inspired_by,0.575,71,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44804,4774,4883,follows,0.702,8,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44805,4750,4762,collaborates,0.857,165,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44806,4882,4700,mentioned,0.525,187,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44807,4829,4741,reshared,0.443,150,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44808,4850,4563,tagged,0.297,100,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44809,4990,4684,duet,0.485,55,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44810,4622,4725,inspired_by,0.362,51,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44811,4550,4545,follows,0.454,16,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44812,4665,5001,collaborates,0.929,74,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44813,5020,4809,mentioned,0.655,44,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44814,4989,4617,reshared,0.562,55,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44815,4771,4780,tagged,0.478,29,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44816,4803,4620,duet,0.786,189,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44817,5059,4588,inspired_by,0.336,38,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44818,4590,4617,follows,0.284,41,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44819,4643,4625,collaborates,0.862,91,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44820,4889,4611,mentioned,0.424,146,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44821,4549,4716,reshared,0.624,167,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44822,5021,4704,tagged,0.297,18,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
