influencer_id,handle,display_name,platform,follower_count,engagement_rate,influence_score,niche,city,region,country,is_verified,created_at
4590,@roaming_sarah,Roaming Sarah,threads,5506,0.038,68.09,Home Internet,Austin,Texas,US,0,2026-05-27T11:26:09Z
4591,@coverage_lily,Coverage Lily,instagram,76521,0.0742,91.22,Device Upgrades,Nashville,Tennessee,US,0,2026-05-27T11:26:09Z
4592,@coverage_nina,Coverage Nina,tiktok,80015,0.0354,70.4,Roaming Services,Portland,Oregon,US,0,2026-05-27T11:26:09Z
4593,@coverage_luna,Coverage Luna,twitter,426643,0.0428,85.58,Enterprise Connectivity,Boston,Massachusetts,US,0,2026-05-27T11:26:09Z
4594,@coverage_ruby,Coverage Ruby,youtube,1936,0.0518,63.53,IoT Connectivity,Atlanta,Georgia,US,0,2026-05-27T11:26:09Z
4595,@coverage_hope,Coverage Hope,threads,90065,0.0728,98.75,Network Monitoring,Dallas,Texas,US,0,2026-05-27T11:26:09Z
4596,@coverage_omar,Coverage Omar,instagram,14781,0.0593,87.61,Service Assurance,San Diego,California,US,0,2026-05-27T11:26:09Z
4597,@coverage_vince,Coverage Vince,tiktok,1628,0.0723,82.28,Field Operations,Minneapolis,Minnesota,US,0,2026-05-27T11:26:09Z
4598,@coverage_cass,Coverage Cass,twitter,187641,0.0257,78.78,Family Plans,Detroit,Michigan,US,0,2026-05-27T11:26:09Z
4599,@coverage_zoe,Coverage Zoe,youtube,7976,0.1142,100,Connected Life,Las Vegas,Nevada,US,0,2026-05-27T11:26:09Z
4600,@coverage_ava,Coverage Ava,threads,93407,0.0733,90.94,Billing Experience,Brooklyn,New York,US,0,2026-05-27T11:26:09Z
4601,@outage_kai,Outage Kai,instagram,5271,0.0487,68.55,Mobile Service,New York,New York,US,0,2026-05-27T11:26:09Z
4602,@outage_ella,Outage Ella,tiktok,3881,0.1017,93.66,Fiber Broadband,Los Angeles,California,US,0,2026-05-27T11:26:09Z
4603,@outage_noah,Outage Noah,twitter,42440,0.0638,87.07,5G Services,Chicago,Illinois,US,0,2026-05-27T11:26:09Z
4604,@outage_faye,Outage Faye,youtube,697762,0.0216,86.18,Customer Retention,Houston,Texas,US,1,2026-05-27T11:26:09Z
4605,@outage_nora,Outage Nora,threads,6810,0.0337,59.42,Home Internet,Phoenix,Arizona,US,0,2026-05-27T11:26:09Z
4606,@outage_vince,Outage Vince,instagram,4914,0.0841,83.21,Device Upgrades,San Francisco,California,US,0,2026-05-27T11:26:09Z
4607,@outage_dev,Outage Dev,tiktok,23105,0.0257,64.35,Roaming Services,Miami,Florida,US,0,2026-05-27T11:26:09Z
4608,@outage_lily,Outage Lily,twitter,244618,0.028,85.95,Enterprise Connectivity,Seattle,Washington,US,0,2026-05-27T11:26:09Z
4609,@outage_drew,Outage Drew,youtube,70058,0.0521,89.78,IoT Connectivity,Denver,Colorado,US,0,2026-05-27T11:26:09Z
4610,@outage_mia,Outage Mia,threads,1673,0.0311,48.8,Network Monitoring,Austin,Texas,US,0,2026-05-27T11:26:09Z
4611,@wifi_maya,Wifi Maya,instagram,24779,0.0685,85.42,Service Assurance,Nashville,Tennessee,US,0,2026-05-27T11:26:09Z
4612,@wifi_aria,Wifi Aria,tiktok,738956,0.0237,83.11,Field Operations,Portland,Oregon,US,1,2026-05-27T11:26:09Z
4613,@wifi_ruby,Wifi Ruby,twitter,65020,0.0271,67.63,Family Plans,Boston,Massachusetts,US,0,2026-05-27T11:26:09Z
4614,@wifi_jace,Wifi Jace,youtube,51943,0.0537,77.61,Connected Life,Atlanta,Georgia,US,0,2026-05-27T11:26:09Z
4615,@wifi_tess,Wifi Tess,threads,71480,0.0649,93.54,Billing Experience,Dallas,Texas,US,0,2026-05-27T11:26:09Z
4616,@wifi_cass,Wifi Cass,instagram,7422,0.0523,73.36,Mobile Service,San Diego,California,US,0,2026-05-27T11:26:09Z
4617,@wifi_lily,Wifi Lily,tiktok,27339,0.0703,87.97,Fiber Broadband,Minneapolis,Minnesota,US,0,2026-05-27T11:26:09Z
4618,@wifi_ella,Wifi Ella,twitter,7538859,0.0152,93.23,5G Services,Detroit,Michigan,US,1,2026-05-27T11:26:09Z
4619,@wifi_ivy,Wifi Ivy,youtube,9653,0.0623,83.44,Customer Retention,Las Vegas,Nevada,US,0,2026-05-27T11:26:09Z
4620,@wifi_hope,Wifi Hope,threads,29223,0.0481,82.64,Home Internet,Brooklyn,New York,US,0,2026-05-27T11:26:09Z
4621,@broadband_tyler,Broadband Tyler,instagram,13455660,0.0144,96.56,Device Upgrades,New York,New York,US,1,2026-05-27T11:26:09Z
4622,@broadband_luna,Broadband Luna,tiktok,5824,0.038,63.49,Roaming Services,Los Angeles,California,US,0,2026-05-27T11:26:09Z
4623,@broadband_dane,Broadband Dane,twitter,8756,0.0925,88.32,Enterprise Connectivity,Chicago,Illinois,US,0,2026-05-27T11:26:09Z
4624,@broadband_omar,Broadband Omar,youtube,27110,0.0692,93.75,IoT Connectivity,Houston,Texas,US,0,2026-05-27T11:26:09Z
4625,@broadband_yuri,Broadband Yuri,threads,2393,0.055,69.77,Network Monitoring,Phoenix,Arizona,US,0,2026-05-27T11:26:09Z
4626,@broadband_zoe,Broadband Zoe,instagram,3564,0.0659,74.96,Service Assurance,San Francisco,California,US,0,2026-05-27T11:26:09Z
4627,@broadband_drew,Broadband Drew,tiktok,3227,0.1187,96.29,Field Operations,Miami,Florida,US,0,2026-05-27T11:26:09Z
4628,@broadband_ivy,Broadband Ivy,twitter,52441,0.0562,83.89,Family Plans,Seattle,Washington,US,0,2026-05-27T11:26:09Z
4629,@broadband_ines,Broadband Ines,youtube,351166,0.0348,88.06,Connected Life,Denver,Colorado,US,0,2026-05-27T11:26:09Z
4630,@broadband_tess,Broadband Tess,threads,356185,0.0314,81.84,Billing Experience,Austin,Texas,US,0,2026-05-27T11:26:09Z
4631,@subscriber_ava,Subscriber Ava,instagram,11477122,0.0125,89.89,Mobile Service,Nashville,Tennessee,US,1,2026-05-27T11:26:09Z
4632,@subscriber_mia,Subscriber Mia,tiktok,5395,0.1035,100,Fiber Broadband,Portland,Oregon,US,0,2026-05-27T11:26:09Z
4633,@subscriber_hope,Subscriber Hope,twitter,71138,0.0368,77.62,5G Services,Boston,Massachusetts,US,0,2026-05-27T11:26:09Z
4634,@subscriber_tess,Subscriber Tess,youtube,4333,0.0574,79.66,Customer Retention,Atlanta,Georgia,US,0,2026-05-27T11:26:09Z
4635,@subscriber_sarah,Subscriber Sarah,threads,1583,0.0724,82.72,Home Internet,Dallas,Texas,US,0,2026-05-27T11:26:09Z
4641,@device_cole,Device Cole,instagram,1174,0.0829,85.77,Device Upgrades,San Diego,California,US,0,2026-05-27T11:26:09Z
4642,@device_ivy,Device Ivy,tiktok,7907,0.0575,75.91,Roaming Services,Minneapolis,Minnesota,US,0,2026-05-27T11:26:09Z
4643,@device_kara,Device Kara,twitter,17437,0.0761,82.58,Enterprise Connectivity,Detroit,Michigan,US,0,2026-05-27T11:26:09Z
4644,@device_xena,Device Xena,youtube,80947,0.0761,97.27,IoT Connectivity,Las Vegas,Nevada,US,0,2026-05-27T11:26:09Z
4645,@device_marcus,Device Marcus,threads,4520,0.1174,100,Network Monitoring,Brooklyn,New York,US,0,2026-05-27T11:26:09Z
4646,@device_aria,Device Aria,instagram,4713,0.0494,67.9,Service Assurance,New York,New York,US,0,2026-05-27T11:26:09Z
4647,@device_dane,Device Dane,tiktok,5125,0.0332,69.03,Field Operations,Los Angeles,California,US,0,2026-05-27T11:26:09Z
4648,@device_reed,Device Reed,twitter,862445,0.0175,75.04,Family Plans,Chicago,Illinois,US,1,2026-05-27T11:26:09Z
4649,@device_dev,Device Dev,youtube,5065,0.0923,98.69,Connected Life,Houston,Texas,US,0,2026-05-27T11:26:09Z
4650,@device_ava,Device Ava,threads,8562,0.0416,67.23,Billing Experience,Phoenix,Arizona,US,0,2026-05-27T11:26:09Z
4651,@iot_nina,Iot Nina,instagram,9755,0.0958,91.53,Mobile Service,San Francisco,California,US,0,2026-05-27T11:26:09Z
4652,@iot_ruby,Iot Ruby,tiktok,92478,0.0685,94.54,Fiber Broadband,Miami,Florida,US,0,2026-05-27T11:26:09Z
4653,@iot_omar,Iot Omar,twitter,108260,0.0247,68.59,5G Services,Seattle,Washington,US,0,2026-05-27T11:26:09Z
4654,@iot_cass,Iot Cass,youtube,903644,0.0176,75.01,Customer Retention,Denver,Colorado,US,1,2026-05-27T11:26:09Z
4655,@iot_ava,Iot Ava,threads,967097,0.0177,77.21,Home Internet,Austin,Texas,US,1,2026-05-27T11:26:09Z
4656,@iot_ivy,Iot Ivy,instagram,11361803,0.0158,93.52,Device Upgrades,Nashville,Tennessee,US,1,2026-05-27T11:26:09Z
4657,@iot_liam,Iot Liam,tiktok,7724,0.0471,66.54,Roaming Services,Portland,Oregon,US,0,2026-05-27T11:26:09Z
4658,@iot_zara,Iot Zara,twitter,7872,0.1086,100,Enterprise Connectivity,Boston,Massachusetts,US,0,2026-05-27T11:26:09Z
4659,@iot_maya,Iot Maya,youtube,7972,0.1119,100,IoT Connectivity,Atlanta,Georgia,US,0,2026-05-27T11:26:09Z
4660,@iot_mia,Iot Mia,threads,1146,0.0541,64.67,Network Monitoring,Dallas,Texas,US,0,2026-05-27T11:26:09Z
4661,@enterprise_drew,Enterprise Drew,instagram,10547,0.0509,77.59,Service Assurance,San Diego,California,US,0,2026-05-27T11:26:09Z
4662,@enterprise_cleo,Enterprise Cleo,tiktok,57233,0.0546,88.03,Field Operations,Minneapolis,Minnesota,US,0,2026-05-27T11:26:09Z
4663,@enterprise_sage,Enterprise Sage,twitter,7728,0.1184,100,Family Plans,Detroit,Michigan,US,0,2026-05-27T11:26:09Z
4664,@enterprise_jen,Enterprise Jen,youtube,9914,0.1122,100,Connected Life,Las Vegas,Nevada,US,0,2026-05-27T11:26:09Z
4665,@enterprise_finn,Enterprise Finn,threads,564938,0.0367,90.92,Billing Experience,Brooklyn,New York,US,1,2026-05-27T11:26:09Z
4666,@enterprise_faye,Enterprise Faye,instagram,526301,0.0174,82.27,Mobile Service,New York,New York,US,1,2026-05-27T11:26:09Z
4667,@enterprise_uma,Enterprise Uma,tiktok,6837,0.0576,75.62,Fiber Broadband,Los Angeles,California,US,0,2026-05-27T11:26:09Z
4668,@enterprise_zoe,Enterprise Zoe,twitter,5725,0.1101,97.79,5G Services,Chicago,Illinois,US,0,2026-05-27T11:26:09Z
4669,@enterprise_owen,Enterprise Owen,youtube,7981,0.0712,77.58,Customer Retention,Houston,Texas,US,0,2026-05-27T11:26:09Z
4670,@enterprise_hope,Enterprise Hope,threads,3530033,0.0147,82.96,Home Internet,Phoenix,Arizona,US,1,2026-05-27T11:26:09Z
4671,@edge_ella,Edge Ella,instagram,3048,0.0777,77.95,Device Upgrades,San Francisco,California,US,0,2026-05-27T11:26:09Z
4672,@edge_faye,Edge Faye,tiktok,36268,0.0465,72.51,Roaming Services,Miami,Florida,US,0,2026-05-27T11:26:09Z
4673,@edge_vince,Edge Vince,twitter,34349,0.0336,69.01,Enterprise Connectivity,Seattle,Washington,US,0,2026-05-27T11:26:09Z
4674,@edge_lily,Edge Lily,youtube,49215,0.0737,92.39,IoT Connectivity,Denver,Colorado,US,0,2026-05-27T11:26:09Z
4675,@edge_mia,Edge Mia,threads,7868,0.119,100,Network Monitoring,Austin,Texas,US,0,2026-05-27T11:26:09Z
4676,@edge_liam,Edge Liam,instagram,5352,0.11,99.92,Service Assurance,Nashville,Tennessee,US,0,2026-05-27T11:26:09Z
4677,@edge_cass,Edge Cass,tiktok,6942,0.0934,98.83,Field Operations,Portland,Oregon,US,0,2026-05-27T11:26:09Z
4678,@edge_nina,Edge Nina,twitter,180659,0.0384,77.17,Family Plans,Boston,Massachusetts,US,0,2026-05-27T11:26:09Z
4679,@edge_cleo,Edge Cleo,youtube,297586,0.0292,77.06,Connected Life,Atlanta,Georgia,US,0,2026-05-27T11:26:09Z
4680,@edge_tess,Edge Tess,threads,1903,0.0956,89.43,Billing Experience,Dallas,Texas,US,0,2026-05-27T11:26:09Z
4681,@retention_finn,Retention Finn,instagram,2147,0.0815,88.72,Mobile Service,San Diego,California,US,0,2026-05-27T11:26:09Z
4682,@retention_hope,Retention Hope,tiktok,1842,0.0663,79.82,Fiber Broadband,Minneapolis,Minnesota,US,0,2026-05-27T11:26:09Z
4683,@retention_yuri,Retention Yuri,twitter,46444,0.0472,78.01,5G Services,Detroit,Michigan,US,0,2026-05-27T11:26:09Z
4684,@retention_ava,Retention Ava,youtube,279801,0.0415,81.36,Customer Retention,Las Vegas,Nevada,US,0,2026-05-27T11:26:09Z
4685,@retention_max,Retention Max,threads,645094,0.0443,93.12,Home Internet,Brooklyn,New York,US,1,2026-05-27T11:26:09Z
4686,@retention_tess,Retention Tess,instagram,89117,0.0792,100,Device Upgrades,New York,New York,US,0,2026-05-27T11:26:09Z
4687,@retention_marcus,Retention Marcus,tiktok,5318,0.0426,62.6,Roaming Services,Los Angeles,California,US,0,2026-05-27T11:26:09Z
4688,@retention_mia,Retention Mia,twitter,1843,0.0864,80.31,Enterprise Connectivity,Chicago,Illinois,US,0,2026-05-27T11:26:09Z
4689,@retention_nora,Retention Nora,youtube,8502,0.0678,88.89,IoT Connectivity,Houston,Texas,US,0,2026-05-27T11:26:09Z
4690,@retention_sarah,Retention Sarah,threads,1449,0.0412,64.74,Network Monitoring,Phoenix,Arizona,US,0,2026-05-27T11:26:09Z
4691,@billing_aria,Billing Aria,instagram,374868,0.0405,81.8,Service Assurance,San Francisco,California,US,0,2026-05-27T11:26:09Z
4692,@billing_jace,Billing Jace,tiktok,27053,0.0561,79.2,Field Operations,Miami,Florida,US,0,2026-05-27T11:26:09Z
4693,@billing_cass,Billing Cass,twitter,8842,0.1143,99.72,Family Plans,Seattle,Washington,US,0,2026-05-27T11:26:09Z
4694,@billing_ella,Billing Ella,youtube,2895,0.0961,89.49,Connected Life,Denver,Colorado,US,0,2026-05-27T11:26:09Z
4695,@billing_hope,Billing Hope,threads,3285,0.0301,64.47,Billing Experience,Austin,Texas,US,0,2026-05-27T11:26:09Z
4696,@billing_zara,Billing Zara,instagram,3951,0.1146,98.66,Mobile Service,Nashville,Tennessee,US,0,2026-05-27T11:26:09Z
4697,@billing_nina,Billing Nina,tiktok,67119,0.075,97.95,Fiber Broadband,Portland,Oregon,US,0,2026-05-27T11:26:09Z
4698,@billing_faye,Billing Faye,twitter,49879,0.0551,88.19,5G Services,Boston,Massachusetts,US,0,2026-05-27T11:26:09Z
4699,@billing_xena,Billing Xena,youtube,76645,0.0325,79.25,Customer Retention,Atlanta,Georgia,US,0,2026-05-27T11:26:09Z
4700,@billing_ava,Billing Ava,threads,60982,0.0558,90.76,Home Internet,Dallas,Texas,US,0,2026-05-27T11:26:09Z
4701,@support_owen,Support Owen,instagram,6530,0.0766,84.79,Device Upgrades,San Diego,California,US,0,2026-05-27T11:26:09Z
4702,@support_liam,Support Liam,tiktok,6476,0.0755,89.32,Roaming Services,Minneapolis,Minnesota,US,0,2026-05-27T11:26:09Z
4703,@support_mike,Support Mike,twitter,1667,0.0888,80.71,Enterprise Connectivity,Detroit,Michigan,US,0,2026-05-27T11:26:09Z
4704,@support_luna,Support Luna,youtube,69407,0.0797,92.64,IoT Connectivity,Las Vegas,Nevada,US,0,2026-05-27T11:26:09Z
4705,@support_nora,Support Nora,threads,8141,0.1105,100,Network Monitoring,Brooklyn,New York,US,0,2026-05-27T11:26:09Z
4706,@support_jen,Support Jen,instagram,6024,0.0524,71.12,Service Assurance,New York,New York,US,0,2026-05-27T11:26:09Z
4707,@support_jack,Support Jack,tiktok,71615,0.0278,65.58,Field Operations,Los Angeles,California,US,0,2026-05-27T11:26:09Z
4708,@support_omar,Support Omar,twitter,9898,0.1033,100,Family Plans,Chicago,Illinois,US,0,2026-05-27T11:26:09Z
4709,@support_alex,Support Alex,youtube,74692,0.0375,78.16,Connected Life,Houston,Texas,US,0,2026-05-27T11:26:09Z
4710,@support_mia,Support Mia,threads,46054,0.0474,78.56,Billing Experience,Phoenix,Arizona,US,0,2026-05-27T11:26:09Z
4711,@fieldops_luna,Fieldops Luna,instagram,12945129,0.0053,93.1,Mobile Service,San Francisco,California,US,1,2026-05-27T11:26:09Z
4712,@fieldops_omar,Fieldops Omar,tiktok,96803,0.0488,78.04,Fiber Broadband,Miami,Florida,US,0,2026-05-27T11:26:09Z
4713,@fieldops_zoe,Fieldops Zoe,twitter,84379,0.0428,73.12,5G Services,Seattle,Washington,US,0,2026-05-27T11:26:09Z
4714,@fieldops_ivy,Fieldops Ivy,youtube,8005,0.0703,76.49,Customer Retention,Denver,Colorado,US,0,2026-05-27T11:26:09Z
4715,@fieldops_tess,Fieldops Tess,threads,147549,0.0201,67.37,Home Internet,Austin,Texas,US,0,2026-05-27T11:26:09Z
4716,@fieldops_maya,Fieldops Maya,instagram,8545,0.0451,70.2,Device Upgrades,Nashville,Tennessee,US,0,2026-05-27T11:26:09Z
4717,@fieldops_cleo,Fieldops Cleo,tiktok,82692,0.0739,93.48,Roaming Services,Portland,Oregon,US,0,2026-05-27T11:26:09Z
4718,@fieldops_xena,Fieldops Xena,twitter,1995318,0.0165,83.21,Enterprise Connectivity,Boston,Massachusetts,US,1,2026-05-27T11:26:09Z
4719,@fieldops_nina,Fieldops Nina,youtube,7472,0.1088,99.44,IoT Connectivity,Atlanta,Georgia,US,0,2026-05-27T11:26:09Z
4720,@fieldops_hope,Fieldops Hope,threads,5446,0.1128,100,Network Monitoring,Dallas,Texas,US,0,2026-05-27T11:26:09Z
4721,@technician_jack,Technician Jack,instagram,284521,0.037,78.18,Service Assurance,San Diego,California,US,0,2026-05-27T11:26:09Z
4722,@technician_reed,Technician Reed,tiktok,218736,0.0428,83.33,Field Operations,Minneapolis,Minnesota,US,0,2026-05-27T11:26:09Z
4723,@technician_kai,Technician Kai,twitter,74428,0.0609,82.08,Family Plans,Detroit,Michigan,US,0,2026-05-27T11:26:09Z
4724,@technician_cleo,Technician Cleo,youtube,2589,0.0343,60.85,Connected Life,Las Vegas,Nevada,US,0,2026-05-27T11:26:09Z
4725,@technician_yuri,Technician Yuri,threads,1754,0.099,91.32,Billing Experience,Brooklyn,New York,US,0,2026-05-27T11:26:09Z
4726,@technician_ella,Technician Ella,instagram,30172,0.0533,80.52,Mobile Service,New York,New York,US,0,2026-05-27T11:26:09Z
4727,@technician_kara,Technician Kara,tiktok,10054,0.0503,80.64,Fiber Broadband,Los Angeles,California,US,0,2026-05-27T11:26:09Z
4728,@technician_jen,Technician Jen,twitter,5853,0.0584,70.35,5G Services,Chicago,Illinois,US,0,2026-05-27T11:26:09Z
4729,@technician_noah,Technician Noah,youtube,4023,0.0981,98.29,Customer Retention,Houston,Texas,US,0,2026-05-27T11:26:09Z
4730,@technician_tess,Technician Tess,threads,5252,0.0396,72.21,Home Internet,Phoenix,Arizona,US,0,2026-05-27T11:26:09Z
4731,@smart_home_mia,Smart Home Mia,instagram,5340,0.062,75.52,Device Upgrades,San Francisco,California,US,0,2026-05-27T11:26:09Z
4732,@smart_home_tess,Smart Home Tess,tiktok,42489,0.0644,82.16,Roaming Services,Miami,Florida,US,0,2026-05-27T11:26:09Z
4733,@smart_home_ava,Smart Home Ava,twitter,85630,0.0644,89.45,Enterprise Connectivity,Seattle,Washington,US,0,2026-05-27T11:26:09Z
4734,@smart_home_hope,Smart Home Hope,youtube,2452,0.0678,75.77,IoT Connectivity,Denver,Colorado,US,0,2026-05-27T11:26:09Z
4735,@smart_home_sarah,Smart Home Sarah,threads,9100,0.0927,96.25,Network Monitoring,Austin,Texas,US,0,2026-05-27T11:26:09Z
4741,@family_plan_noah,Family Plan Noah,instagram,27138,0.0564,77.23,Service Assurance,Nashville,Tennessee,US,0,2026-05-27T11:26:09Z
4742,@family_plan_vince,Family Plan Vince,tiktok,9080,0.0774,88.51,Field Operations,Portland,Oregon,US,0,2026-05-27T11:26:09Z
4743,@family_plan_drew,Family Plan Drew,twitter,764449,0.0252,78.51,Family Plans,Boston,Massachusetts,US,1,2026-05-27T11:26:09Z
4744,@family_plan_liam,Family Plan Liam,youtube,5556,0.1081,92.47,Connected Life,Atlanta,Georgia,US,0,2026-05-27T11:26:09Z
4745,@family_plan_marcus,Family Plan Marcus,threads,958571,0.0311,80.54,Billing Experience,Dallas,Texas,US,1,2026-05-27T11:26:09Z
4746,@family_plan_cleo,Family Plan Cleo,instagram,5162,0.0834,93.77,Mobile Service,San Diego,California,US,0,2026-05-27T11:26:09Z
4747,@family_plan_beau,Family Plan Beau,tiktok,30238,0.0332,66.03,Fiber Broadband,Minneapolis,Minnesota,US,0,2026-05-27T11:26:09Z
4748,@family_plan_luna,Family Plan Luna,twitter,64817,0.0273,77.2,5G Services,Detroit,Michigan,US,0,2026-05-27T11:26:09Z
