mention_id,post_id,product_id,confidence_score,mention_type,created_at
22580,44597,1556,0.707,hashtag,2026-05-27T11:26:09Z
22581,44598,1558,0.899,visual,2026-05-27T11:26:09Z
22582,44599,1557,0.747,inferred,2026-05-27T11:26:09Z
22583,44600,1561,0.868,direct,2026-05-27T11:26:09Z
22584,44601,1544,0.863,semantic,2026-05-27T11:26:09Z
22585,44603,1565,0.708,visual,2026-05-27T11:26:09Z
22586,44604,1565,0.897,inferred,2026-05-27T11:26:09Z
22587,44605,1560,0.71,direct,2026-05-27T11:26:09Z
22588,44606,1545,0.716,semantic,2026-05-27T11:26:09Z
22589,44609,1548,0.791,inferred,2026-05-27T11:26:09Z
22590,44610,1545,0.746,direct,2026-05-27T11:26:09Z
22591,44611,1571,0.849,semantic,2026-05-27T11:26:09Z
22592,44613,1562,0.736,visual,2026-05-27T11:26:09Z
22593,44615,1572,0.793,direct,2026-05-27T11:26:09Z
22594,44616,1559,0.832,semantic,2026-05-27T11:26:09Z
22595,44617,1567,0.989,hashtag,2026-05-27T11:26:09Z
22596,44618,1566,0.852,visual,2026-05-27T11:26:09Z
22597,44619,1542,0.837,inferred,2026-05-27T11:26:09Z
22598,44620,1572,0.873,direct,2026-05-27T11:26:09Z
22599,44621,1562,0.781,semantic,2026-05-27T11:26:09Z
22600,44622,1571,0.935,hashtag,2026-05-27T11:26:09Z
22601,44623,1567,0.837,visual,2026-05-27T11:26:09Z
22602,44624,1565,0.744,inferred,2026-05-27T11:26:09Z
22603,44625,1546,0.774,direct,2026-05-27T11:26:09Z
22604,44626,1555,0.818,semantic,2026-05-27T11:26:09Z
22605,44627,1558,0.966,hashtag,2026-05-27T11:26:09Z
22606,44628,1566,0.872,visual,2026-05-27T11:26:09Z
22607,44629,1569,0.753,inferred,2026-05-27T11:26:09Z
22608,44630,1572,0.798,direct,2026-05-27T11:26:09Z
22609,44631,1544,0.833,semantic,2026-05-27T11:26:09Z
22610,44632,1548,0.997,hashtag,2026-05-27T11:26:09Z
22611,44634,1565,0.775,inferred,2026-05-27T11:26:09Z
22612,44635,1568,0.972,direct,2026-05-27T11:26:09Z
22613,44636,1570,0.942,semantic,2026-05-27T11:26:09Z
22614,44638,1568,0.971,visual,2026-05-27T11:26:09Z
22615,44639,1544,0.878,inferred,2026-05-27T11:26:09Z
22616,44640,1558,0.94,direct,2026-05-27T11:26:09Z
22617,44642,1557,0.866,hashtag,2026-05-27T11:26:09Z
22618,44643,1541,0.983,visual,2026-05-27T11:26:09Z
22619,44644,1551,0.801,inferred,2026-05-27T11:26:09Z
22620,44645,1559,0.975,direct,2026-05-27T11:26:09Z
22621,44646,1571,0.705,semantic,2026-05-27T11:26:09Z
22622,44648,1543,0.93,visual,2026-05-27T11:26:09Z
22623,44650,1553,0.959,direct,2026-05-27T11:26:09Z
22624,44652,1552,0.889,hashtag,2026-05-27T11:26:09Z
22625,44653,1549,0.776,visual,2026-05-27T11:26:09Z
22626,44654,1565,0.743,inferred,2026-05-27T11:26:09Z
22627,44655,1544,0.701,direct,2026-05-27T11:26:09Z
22628,44657,1558,0.829,hashtag,2026-05-27T11:26:09Z
22629,44658,1548,0.881,visual,2026-05-27T11:26:09Z
22630,44662,1548,0.97,hashtag,2026-05-27T11:26:09Z
22631,44664,1560,0.805,inferred,2026-05-27T11:26:09Z
22632,44665,1570,0.911,direct,2026-05-27T11:26:09Z
22633,44666,1557,0.85,semantic,2026-05-27T11:26:09Z
22634,44667,1569,0.751,hashtag,2026-05-27T11:26:09Z
22635,44668,1550,0.877,visual,2026-05-27T11:26:09Z
22636,44670,1550,0.971,direct,2026-05-27T11:26:09Z
22637,44673,1552,0.82,visual,2026-05-27T11:26:09Z
22638,44674,1541,0.798,inferred,2026-05-27T11:26:09Z
22639,44675,1566,0.83,direct,2026-05-27T11:26:09Z
22640,44676,1555,0.884,semantic,2026-05-27T11:26:09Z
22641,44677,1556,0.802,hashtag,2026-05-27T11:26:09Z
22642,44678,1562,0.915,visual,2026-05-27T11:26:09Z
22643,44679,1557,0.911,inferred,2026-05-27T11:26:09Z
22644,44680,1549,0.963,direct,2026-05-27T11:26:09Z
22645,44681,1553,0.945,semantic,2026-05-27T11:26:09Z
22646,44682,1542,0.704,hashtag,2026-05-27T11:26:09Z
22647,44685,1557,0.952,direct,2026-05-27T11:26:09Z
22648,44686,1543,0.905,semantic,2026-05-27T11:26:09Z
22649,44687,1544,0.846,hashtag,2026-05-27T11:26:09Z
22650,44689,1551,0.844,inferred,2026-05-27T11:26:09Z
22651,44690,1547,0.791,direct,2026-05-27T11:26:09Z
22652,44692,1563,0.771,hashtag,2026-05-27T11:26:09Z
22653,44694,1546,0.731,inferred,2026-05-27T11:26:09Z
22654,44695,1553,0.912,direct,2026-05-27T11:26:09Z
22655,44696,1542,0.988,semantic,2026-05-27T11:26:09Z
22656,44697,1543,0.741,hashtag,2026-05-27T11:26:09Z
22657,44698,1545,0.902,visual,2026-05-27T11:26:09Z
22658,44699,1565,0.744,inferred,2026-05-27T11:26:09Z
22659,44700,1564,0.719,direct,2026-05-27T11:26:09Z
22660,44701,1570,0.965,semantic,2026-05-27T11:26:09Z
22661,44703,1569,0.846,visual,2026-05-27T11:26:09Z
22662,44704,1558,0.982,inferred,2026-05-27T11:26:09Z
22663,44705,1542,0.784,direct,2026-05-27T11:26:09Z
22664,44706,1553,0.753,semantic,2026-05-27T11:26:09Z
22665,44707,1561,0.926,hashtag,2026-05-27T11:26:09Z
22666,44708,1541,0.717,visual,2026-05-27T11:26:09Z
22667,44709,1563,0.778,inferred,2026-05-27T11:26:09Z
22668,44711,1564,0.76,semantic,2026-05-27T11:26:09Z
22669,44712,1542,0.791,hashtag,2026-05-27T11:26:09Z
22670,44714,1556,0.801,inferred,2026-05-27T11:26:09Z
22671,44715,1549,0.853,direct,2026-05-27T11:26:09Z
22672,44716,1553,0.799,semantic,2026-05-27T11:26:09Z
22673,44717,1549,0.869,hashtag,2026-05-27T11:26:09Z
22674,44718,1572,0.739,visual,2026-05-27T11:26:09Z
22675,44719,1559,0.749,inferred,2026-05-27T11:26:09Z
22676,44720,1556,0.934,direct,2026-05-27T11:26:09Z
22677,44721,1571,0.957,semantic,2026-05-27T11:26:09Z
22678,44722,1565,0.746,hashtag,2026-05-27T11:26:09Z
22679,44723,1549,0.957,visual,2026-05-27T11:26:09Z
22680,44724,1562,0.992,inferred,2026-05-27T11:26:09Z
22681,44725,1551,0.914,direct,2026-05-27T11:26:09Z
22682,44726,1551,0.941,semantic,2026-05-27T11:26:09Z
22683,44727,1549,0.885,hashtag,2026-05-27T11:26:09Z
22684,44728,1558,0.925,visual,2026-05-27T11:26:09Z
22685,44730,1558,0.743,direct,2026-05-27T11:26:09Z
22686,44732,1547,0.968,hashtag,2026-05-27T11:26:09Z
22687,44733,1544,0.794,visual,2026-05-27T11:26:09Z
22688,44735,1544,0.744,direct,2026-05-27T11:26:09Z
22689,44736,1555,0.862,semantic,2026-05-27T11:26:09Z
22690,44738,1551,0.757,visual,2026-05-27T11:26:09Z
22691,44740,1563,0.957,direct,2026-05-27T11:26:09Z
22692,44741,1547,0.85,semantic,2026-05-27T11:26:09Z
22693,44742,1559,0.805,hashtag,2026-05-27T11:26:09Z
22694,44743,1563,0.711,visual,2026-05-27T11:26:09Z
22695,44744,1561,0.817,inferred,2026-05-27T11:26:09Z
22696,44745,1542,0.832,direct,2026-05-27T11:26:09Z
22697,44746,1557,0.837,semantic,2026-05-27T11:26:09Z
22698,44747,1542,0.856,hashtag,2026-05-27T11:26:09Z
22699,44749,1548,0.74,inferred,2026-05-27T11:26:09Z
22700,44751,1561,0.733,semantic,2026-05-27T11:26:09Z
22701,44753,1556,0.801,visual,2026-05-27T11:26:09Z
22702,44754,1545,0.877,inferred,2026-05-27T11:26:09Z
22703,44758,1568,0.821,visual,2026-05-27T11:26:09Z
22704,44759,1555,0.844,inferred,2026-05-27T11:26:09Z
22705,44760,1549,0.8,direct,2026-05-27T11:26:09Z
22706,44761,1543,0.836,semantic,2026-05-27T11:26:09Z
22707,44763,1543,0.837,visual,2026-05-27T11:26:09Z
22708,44765,1566,0.732,direct,2026-05-27T11:26:09Z
22709,44766,1542,0.789,semantic,2026-05-27T11:26:09Z
22710,44768,1559,0.836,visual,2026-05-27T11:26:09Z
22711,44769,1557,0.715,inferred,2026-05-27T11:26:09Z
22712,44771,1547,0.814,semantic,2026-05-27T11:26:09Z
22713,44772,1568,0.754,hashtag,2026-05-27T11:26:09Z
22714,44773,1548,0.928,visual,2026-05-27T11:26:09Z
22715,44774,1542,0.946,inferred,2026-05-27T11:26:09Z
22716,44775,1545,0.756,direct,2026-05-27T11:26:09Z
22717,44776,1565,0.929,semantic,2026-05-27T11:26:09Z
22718,44778,1550,0.873,visual,2026-05-27T11:26:09Z
22719,44779,1568,0.942,inferred,2026-05-27T11:26:09Z
22720,44780,1569,0.887,direct,2026-05-27T11:26:09Z
22721,44781,1555,0.854,semantic,2026-05-27T11:26:09Z
22722,44782,1542,0.797,hashtag,2026-05-27T11:26:09Z
22723,44783,1548,0.81,visual,2026-05-27T11:26:09Z
22724,44786,1545,0.794,semantic,2026-05-27T11:26:09Z
22725,44787,1568,0.857,hashtag,2026-05-27T11:26:09Z
22726,44788,1546,0.865,visual,2026-05-27T11:26:09Z
22727,44789,1566,0.856,inferred,2026-05-27T11:26:09Z
22728,44791,1546,0.791,semantic,2026-05-27T11:26:09Z
22729,44792,1557,0.835,hashtag,2026-05-27T11:26:09Z
22730,44794,1553,0.728,inferred,2026-05-27T11:26:09Z
22731,44795,1547,0.846,direct,2026-05-27T11:26:09Z
22732,44796,1555,0.907,semantic,2026-05-27T11:26:09Z
22733,44798,1553,0.963,visual,2026-05-27T11:26:09Z
22734,44799,1546,0.773,inferred,2026-05-27T11:26:09Z
22735,44802,1552,0.778,hashtag,2026-05-27T11:26:09Z
22736,44803,1569,0.824,visual,2026-05-27T11:26:09Z
22737,44804,1569,0.898,inferred,2026-05-27T11:26:09Z
22738,44805,1548,0.755,direct,2026-05-27T11:26:09Z
22739,44807,1557,0.761,hashtag,2026-05-27T11:26:09Z
22740,44808,1569,0.827,visual,2026-05-27T11:26:09Z
22741,44809,1552,0.951,inferred,2026-05-27T11:26:09Z
22742,44811,1567,0.705,semantic,2026-05-27T11:26:09Z
22743,44812,1567,0.771,hashtag,2026-05-27T11:26:09Z
22744,44813,1542,0.716,visual,2026-05-27T11:26:09Z
22745,44814,1543,0.875,inferred,2026-05-27T11:26:09Z
22746,44815,1547,0.987,direct,2026-05-27T11:26:09Z
22747,44816,1565,0.971,semantic,2026-05-27T11:26:09Z
22748,44817,1571,0.77,hashtag,2026-05-27T11:26:09Z
22749,44818,1556,0.765,visual,2026-05-27T11:26:09Z
22750,44820,1567,0.947,direct,2026-05-27T11:26:09Z
22751,44821,1559,0.725,semantic,2026-05-27T11:26:09Z
22752,44822,1556,0.991,hashtag,2026-05-27T11:26:09Z
22753,44823,1548,0.927,visual,2026-05-27T11:26:09Z
22754,44824,1548,0.999,inferred,2026-05-27T11:26:09Z
22755,44826,1541,0.775,semantic,2026-05-27T11:26:09Z
22756,44827,1546,0.959,hashtag,2026-05-27T11:26:09Z
22757,44829,1561,0.878,inferred,2026-05-27T11:26:09Z
22758,44831,1559,0.839,semantic,2026-05-27T11:26:09Z
22759,44832,1563,0.862,hashtag,2026-05-27T11:26:09Z
22760,44834,1542,0.721,inferred,2026-05-27T11:26:09Z
22761,44835,1568,0.857,direct,2026-05-27T11:26:09Z
22762,44836,1545,0.872,semantic,2026-05-27T11:26:09Z
22763,44838,1549,0.809,visual,2026-05-27T11:26:09Z
22764,44841,1545,0.894,semantic,2026-05-27T11:26:09Z
22765,44843,1569,0.776,visual,2026-05-27T11:26:09Z
22766,44846,1571,0.833,semantic,2026-05-27T11:26:09Z
22767,44848,1555,0.838,visual,2026-05-27T11:26:09Z
22768,44849,1558,0.959,inferred,2026-05-27T11:26:09Z
22769,44850,1549,0.848,direct,2026-05-27T11:26:09Z
22770,44852,1543,0.828,hashtag,2026-05-27T11:26:09Z
22771,44853,1570,0.912,visual,2026-05-27T11:26:09Z
22772,44854,1548,0.765,inferred,2026-05-27T11:26:09Z
22773,44856,1557,0.765,semantic,2026-05-27T11:26:09Z
22774,44857,1552,0.709,hashtag,2026-05-27T11:26:09Z
22775,44858,1559,0.802,visual,2026-05-27T11:26:09Z
22776,44859,1547,0.738,inferred,2026-05-27T11:26:09Z
22777,44860,1546,0.789,direct,2026-05-27T11:26:09Z
22778,44863,1558,0.806,visual,2026-05-27T11:26:09Z
22779,44864,1564,0.891,inferred,2026-05-27T11:26:09Z
22780,44866,1550,0.791,semantic,2026-05-27T11:26:09Z
22781,44867,1548,0.787,hashtag,2026-05-27T11:26:09Z
22782,44868,1545,0.942,visual,2026-05-27T11:26:09Z
22783,44870,1555,0.908,direct,2026-05-27T11:26:09Z
22784,44873,1563,0.809,visual,2026-05-27T11:26:09Z
22785,44874,1550,0.785,inferred,2026-05-27T11:26:09Z
22786,44875,1545,0.98,direct,2026-05-27T11:26:09Z
22787,44876,1556,0.928,semantic,2026-05-27T11:26:09Z
22788,44877,1559,0.785,hashtag,2026-05-27T11:26:09Z
22789,44878,1565,0.984,visual,2026-05-27T11:26:09Z
22790,44879,1563,0.986,inferred,2026-05-27T11:26:09Z
22791,44880,1572,0.87,direct,2026-05-27T11:26:09Z
22792,44882,1548,0.911,hashtag,2026-05-27T11:26:09Z
22793,44883,1541,0.896,visual,2026-05-27T11:26:09Z
22794,44884,1565,0.741,inferred,2026-05-27T11:26:09Z
22795,44886,1562,0.915,semantic,2026-05-27T11:26:09Z
22796,44889,1551,0.81,inferred,2026-05-27T11:26:09Z
22797,44890,1556,0.883,direct,2026-05-27T11:26:09Z
22798,44891,1541,0.818,semantic,2026-05-27T11:26:09Z
22799,44893,1547,0.716,visual,2026-05-27T11:26:09Z
22800,44894,1542,0.806,inferred,2026-05-27T11:26:09Z
22801,44896,1562,0.712,semantic,2026-05-27T11:26:09Z
22802,44897,1563,0.905,hashtag,2026-05-27T11:26:09Z
22803,44898,1557,0.802,visual,2026-05-27T11:26:09Z
22804,44899,1555,0.948,inferred,2026-05-27T11:26:09Z
22805,44901,1550,0.729,semantic,2026-05-27T11:26:09Z
22806,44902,1550,0.771,hashtag,2026-05-27T11:26:09Z
22807,44903,1566,0.923,visual,2026-05-27T11:26:09Z
22808,44905,1547,0.92,direct,2026-05-27T11:26:09Z
22809,44906,1546,0.855,semantic,2026-05-27T11:26:09Z
22810,44907,1571,0.943,hashtag,2026-05-27T11:26:09Z
22811,44908,1545,0.73,visual,2026-05-27T11:26:09Z
22812,44909,1572,0.872,inferred,2026-05-27T11:26:09Z
22813,44910,1566,0.976,direct,2026-05-27T11:26:09Z
22814,44911,1567,0.87,semantic,2026-05-27T11:26:09Z
22815,44912,1561,0.898,hashtag,2026-05-27T11:26:09Z
22816,44913,1557,0.739,visual,2026-05-27T11:26:09Z
22817,44915,1557,0.897,direct,2026-05-27T11:26:09Z
22818,44916,1559,0.916,semantic,2026-05-27T11:26:09Z
22819,44917,1572,0.863,hashtag,2026-05-27T11:26:09Z
22820,44918,1557,0.77,visual,2026-05-27T11:26:09Z
22821,44919,1555,0.944,inferred,2026-05-27T11:26:09Z
22822,44921,1572,0.788,semantic,2026-05-27T11:26:09Z
22823,44922,1553,0.768,hashtag,2026-05-27T11:26:09Z
22824,44923,1559,0.835,visual,2026-05-27T11:26:09Z
22825,44926,1572,1,semantic,2026-05-27T11:26:09Z
22826,44927,1561,0.876,hashtag,2026-05-27T11:26:09Z
22827,44928,1549,0.782,visual,2026-05-27T11:26:09Z
22828,44929,1567,0.828,inferred,2026-05-27T11:26:09Z
22829,44930,1558,0.835,direct,2026-05-27T11:26:09Z
22830,44931,1557,0.83,semantic,2026-05-27T11:26:09Z
22831,44932,1549,0.887,hashtag,2026-05-27T11:26:09Z
22832,44933,1552,0.851,visual,2026-05-27T11:26:09Z
22833,44934,1570,0.795,inferred,2026-05-27T11:26:09Z
22834,44935,1572,0.805,direct,2026-05-27T11:26:09Z
22835,44937,1555,0.954,hashtag,2026-05-27T11:26:09Z
22836,44938,1570,0.807,visual,2026-05-27T11:26:09Z
22837,44939,1543,0.999,inferred,2026-05-27T11:26:09Z
22838,44941,1566,0.838,semantic,2026-05-27T11:26:09Z
22839,44942,1556,0.887,hashtag,2026-05-27T11:26:09Z
22840,44943,1568,0.805,visual,2026-05-27T11:26:09Z
22841,44944,1556,0.881,inferred,2026-05-27T11:26:09Z
22842,44945,1555,0.814,direct,2026-05-27T11:26:09Z
22843,44946,1555,0.973,semantic,2026-05-27T11:26:09Z
22844,44947,1549,0.864,hashtag,2026-05-27T11:26:09Z
22845,44948,1564,0.736,visual,2026-05-27T11:26:09Z
22846,44949,1562,0.744,inferred,2026-05-27T11:26:09Z
22847,44951,1542,0.826,semantic,2026-05-27T11:26:09Z
22848,44952,1566,0.878,hashtag,2026-05-27T11:26:09Z
22849,44953,1554,0.965,visual,2026-05-27T11:26:09Z
22850,44954,1563,0.77,inferred,2026-05-27T11:26:09Z
22851,44955,1544,0.885,direct,2026-05-27T11:26:09Z
22852,44956,1546,0.704,semantic,2026-05-27T11:26:09Z
22853,44958,1545,0.715,visual,2026-05-27T11:26:09Z
22854,44959,1561,0.812,inferred,2026-05-27T11:26:09Z
22855,44960,1571,0.963,direct,2026-05-27T11:26:09Z
22856,44961,1556,0.956,semantic,2026-05-27T11:26:09Z
22857,44962,1565,0.749,hashtag,2026-05-27T11:26:09Z
22858,44965,1546,0.756,direct,2026-05-27T11:26:09Z
22859,44966,1553,0.717,semantic,2026-05-27T11:26:09Z
22860,44967,1552,0.829,hashtag,2026-05-27T11:26:09Z
22861,44968,1559,0.803,visual,2026-05-27T11:26:09Z
22862,44971,1556,0.994,semantic,2026-05-27T11:26:09Z
22863,44972,1552,0.9,hashtag,2026-05-27T11:26:09Z
22864,44973,1561,0.85,visual,2026-05-27T11:26:09Z
22865,44974,1571,0.774,inferred,2026-05-27T11:26:09Z
22866,44975,1567,0.763,direct,2026-05-27T11:26:09Z
22867,44976,1562,0.711,semantic,2026-05-27T11:26:09Z
22868,44977,1559,0.862,hashtag,2026-05-27T11:26:09Z
22869,44978,1551,0.728,visual,2026-05-27T11:26:09Z
22870,44980,1567,0.793,direct,2026-05-27T11:26:09Z
22871,44982,1543,0.738,hashtag,2026-05-27T11:26:09Z
22872,44983,1541,0.895,visual,2026-05-27T11:26:09Z
22873,44984,1546,0.728,inferred,2026-05-27T11:26:09Z
22874,44985,1546,0.975,direct,2026-05-27T11:26:09Z
22875,44986,1551,0.768,semantic,2026-05-27T11:26:09Z
22876,44989,1541,0.905,inferred,2026-05-27T11:26:09Z
22877,44990,1560,0.868,direct,2026-05-27T11:26:09Z
22878,44991,1560,0.945,semantic,2026-05-27T11:26:09Z
22879,44993,1550,0.815,visual,2026-05-27T11:26:09Z
22880,44994,1556,0.934,inferred,2026-05-27T11:26:09Z
22881,44996,1570,0.712,semantic,2026-05-27T11:26:09Z
22882,44998,1547,0.908,visual,2026-05-27T11:26:09Z
22883,44999,1549,0.866,inferred,2026-05-27T11:26:09Z
22884,45000,1572,0.942,direct,2026-05-27T11:26:09Z
22885,45001,1542,0.897,semantic,2026-05-27T11:26:09Z
22886,45003,1551,0.735,visual,2026-05-27T11:26:09Z
22887,45004,1555,0.862,inferred,2026-05-27T11:26:09Z
22888,45009,1550,0.93,inferred,2026-05-27T11:26:09Z
22889,45010,1564,0.931,direct,2026-05-27T11:26:09Z
22890,45012,1552,0.959,hashtag,2026-05-27T11:26:09Z
22891,45013,1557,0.756,visual,2026-05-27T11:26:09Z
22892,45014,1544,0.977,inferred,2026-05-27T11:26:09Z
22893,45015,1549,0.92,direct,2026-05-27T11:26:09Z
22894,45016,1569,0.988,semantic,2026-05-27T11:26:09Z
22895,45017,1564,0.934,hashtag,2026-05-27T11:26:09Z
22896,45018,1566,0.878,visual,2026-05-27T11:26:09Z
22897,45019,1542,0.862,inferred,2026-05-27T11:26:09Z
22898,45020,1559,0.919,direct,2026-05-27T11:26:09Z
22899,45021,1559,0.853,semantic,2026-05-27T11:26:09Z
22900,45022,1562,0.994,hashtag,2026-05-27T11:26:09Z
22901,45023,1547,0.967,visual,2026-05-27T11:26:09Z
22902,45024,1561,0.71,inferred,2026-05-27T11:26:09Z
22903,45025,1546,0.87,direct,2026-05-27T11:26:09Z
22904,45026,1555,0.973,semantic,2026-05-27T11:26:09Z
22905,45027,1555,0.89,hashtag,2026-05-27T11:26:09Z
22906,45029,1571,0.799,inferred,2026-05-27T11:26:09Z
22907,45030,1570,0.715,direct,2026-05-27T11:26:09Z
22908,45031,1561,0.818,semantic,2026-05-27T11:26:09Z
22909,45032,1550,0.875,hashtag,2026-05-27T11:26:09Z
22910,45033,1556,0.869,visual,2026-05-27T11:26:09Z
22911,45035,1559,0.778,direct,2026-05-27T11:26:09Z
22912,45036,1559,0.929,semantic,2026-05-27T11:26:09Z
22913,45037,1552,0.876,hashtag,2026-05-27T11:26:09Z
22914,45038,1570,0.761,visual,2026-05-27T11:26:09Z
22915,45039,1549,0.708,inferred,2026-05-27T11:26:09Z
22916,45040,1541,0.771,direct,2026-05-27T11:26:09Z
22917,45041,1551,0.784,semantic,2026-05-27T11:26:09Z
22918,45042,1569,0.795,hashtag,2026-05-27T11:26:09Z
22919,45043,1550,0.938,visual,2026-05-27T11:26:09Z
22920,45045,1549,0.766,direct,2026-05-27T11:26:09Z
22921,45046,1570,0.74,semantic,2026-05-27T11:26:09Z
22922,45047,1568,0.823,hashtag,2026-05-27T11:26:09Z
22923,45048,1565,0.725,visual,2026-05-27T11:26:09Z
22924,45049,1542,0.996,inferred,2026-05-27T11:26:09Z
22925,45050,1560,0.928,direct,2026-05-27T11:26:09Z
22926,45053,1560,0.736,visual,2026-05-27T11:26:09Z
22927,45056,1555,0.794,semantic,2026-05-27T11:26:09Z
22928,45058,1569,0.98,visual,2026-05-27T11:26:09Z
22929,45059,1549,0.88,inferred,2026-05-27T11:26:09Z
22930,45060,1558,0.915,direct,2026-05-27T11:26:09Z
22931,45061,1556,0.709,semantic,2026-05-27T11:26:09Z
22932,45063,1565,0.738,visual,2026-05-27T11:26:09Z
22933,45064,1568,0.721,inferred,2026-05-27T11:26:09Z
22934,45065,1542,0.784,direct,2026-05-27T11:26:09Z
22935,45066,1564,0.74,semantic,2026-05-27T11:26:09Z
22936,45068,1557,0.747,visual,2026-05-27T11:26:09Z
22937,45069,1570,0.771,inferred,2026-05-27T11:26:09Z
22938,45070,1548,0.791,direct,2026-05-27T11:26:09Z
22939,45072,1567,0.822,hashtag,2026-05-27T11:26:09Z
22940,45073,1570,0.716,visual,2026-05-27T11:26:09Z
22941,45074,1557,0.825,inferred,2026-05-27T11:26:09Z
22942,45075,1561,0.992,direct,2026-05-27T11:26:09Z
22943,45077,1557,0.951,hashtag,2026-05-27T11:26:09Z
22944,45078,1548,0.931,visual,2026-05-27T11:26:09Z
22945,45081,1556,0.976,semantic,2026-05-27T11:26:09Z
22946,45083,1569,0.929,visual,2026-05-27T11:26:09Z
22947,45084,1553,0.744,inferred,2026-05-27T11:26:09Z
22948,45087,1558,0.825,hashtag,2026-05-27T11:26:09Z
22949,45088,1562,0.923,visual,2026-05-27T11:26:09Z
22950,45089,1544,0.901,inferred,2026-05-27T11:26:09Z
22951,45091,1548,0.774,semantic,2026-05-27T11:26:09Z
22952,45092,1557,0.967,hashtag,2026-05-27T11:26:09Z
22953,45093,1546,0.813,visual,2026-05-27T11:26:09Z
22954,45094,1552,0.864,inferred,2026-05-27T11:26:09Z
22955,45096,1541,0.992,semantic,2026-05-27T11:26:09Z
22956,45097,1569,0.977,hashtag,2026-05-27T11:26:09Z
22957,45099,1565,0.716,inferred,2026-05-27T11:26:09Z
22958,45103,1549,0.842,visual,2026-05-27T11:26:09Z
22959,45105,1558,0.866,direct,2026-05-27T11:26:09Z
22960,45106,1549,0.73,semantic,2026-05-27T11:26:09Z
22961,45107,1563,0.942,hashtag,2026-05-27T11:26:09Z
22962,45109,1562,0.879,inferred,2026-05-27T11:26:09Z
22963,45110,1570,0.859,direct,2026-05-27T11:26:09Z
22964,45111,1548,0.723,semantic,2026-05-27T11:26:09Z
22965,45112,1568,0.817,hashtag,2026-05-27T11:26:09Z
22966,45113,1542,0.787,visual,2026-05-27T11:26:09Z
22967,45115,1569,0.825,direct,2026-05-27T11:26:09Z
22968,45116,1553,0.83,semantic,2026-05-27T11:26:09Z
22969,45118,1572,0.827,visual,2026-05-27T11:26:09Z
22970,45119,1546,0.766,inferred,2026-05-27T11:26:09Z
22971,45121,1550,0.775,semantic,2026-05-27T11:26:09Z
22972,45122,1569,0.763,hashtag,2026-05-27T11:26:09Z
22973,45124,1553,0.776,inferred,2026-05-27T11:26:09Z
22974,45126,1555,0.795,semantic,2026-05-27T11:26:09Z
22975,45128,1568,0.72,visual,2026-05-27T11:26:09Z
22976,45130,1570,0.824,direct,2026-05-27T11:26:09Z
22977,45131,1569,0.765,semantic,2026-05-27T11:26:09Z
22978,45133,1557,0.846,visual,2026-05-27T11:26:09Z
22979,45134,1555,0.95,inferred,2026-05-27T11:26:09Z
